time,lst
2012-02-01,294.7669509400341
2012-03-01,293.49564296452326
2012-04-01,291.8722971013883
2012-05-01,285.4736725152339
2012-06-01,281.511468668314
2012-07-01,280.7496751937997
2012-08-01,285.23984731074563
2012-09-01,290.0100887829291
2012-10-01,291.9183347624129
2012-11-01,296.90104781447815
2012-12-01,300.4673822781824
2013-01-01,304.99369397212376
2013-02-01,299.0720942247151
2013-03-01,293.45616720555194
2013-04-01,293.68803841096826
2013-05-01,286.71263444780834
2013-06-01,280.9216873782022
2013-07-01,283.86459349531293
2013-08-01,284.211730374899
2013-09-01,289.3321734289644
2013-10-01,295.5383351446708
2013-11-01,299.288323558344
2013-12-01,300.8042073162615
2014-01-01,299.1712814145187
2014-02-01,301.6325382333949
2014-03-01,296.2228493828952
2014-04-01,288.06571178667554
